Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
Widgets,Use const constructors,Mark widgets as const whenever possible to prevent unnecessary rebuilds and improve performance.,"Use const for all stateless widgets and immutable subtrees: const Text('Hello'), const SizedBox(height: 16)","Use non-const constructors for static widgets; omit const keyword on Padding/Text/Icon/SizedBox","const Text('Label', style: TextStyle(fontSize: 16))","Text('Label', style: TextStyle(fontSize: 16))",HIGH,https://dart.dev/guides/language/effective-dart/usage#do-use-const-for-compile-time-constants
Widgets,Decompose large build methods,Split complex Widget trees into named private widgets or methods to improve readability and enable const optimization.,"Extract subtrees into _HeaderWidget, _CardRow, etc. as StatelessWidget subclasses","Keep 200+ line build() methods; use inline Builder callbacks for all subtrees","class _ProductCard extends StatelessWidget { const _ProductCard({required this.item}); }","Widget build(BuildContext ctx) { return Column(children: [ Container(child: Row(children: [ ... long nested tree ... ])) ]); }",MEDIUM,https://docs.flutter.dev/perf/best-practices
Lists,Use ListView.builder for dynamic lists,ListView.builder lazily builds items only when visible; ListView with children list eagerly instantiates all items regardless of viewport.,"Use ListView.builder with itemCount and itemBuilder for all lists with 3+ items","Use ListView(children: items.map(...).toList()) for long lists","ListView.builder(itemCount: items.length, itemBuilder: (ctx, i) => ItemTile(item: items[i]))","ListView(children: items.map((i) => ItemTile(item: i)).toList())",HIGH,https://api.flutter.dev/flutter/widgets/ListView/ListView.builder.html
Lists,Use SliverList for complex scroll layouts,SliverList inside CustomScrollView enables mixing lists with headers, grids, and slivers without nesting scroll views.,"Use CustomScrollView + SliverList + SliverAppBar for screens with collapsing headers","Nest ListView inside SingleChildScrollView; use NestedScrollView without understanding its constraints","CustomScrollView(slivers: [SliverAppBar(...), SliverList(delegate: SliverChildBuilderDelegate(...))])","-",HIGH,https://api.flutter.dev/flutter/widgets/SliverList-class.html
Lists,Virtualize lists with 50+ items,Large lists must use virtualized rendering. Consider using flutter_virtual_listview for very large datasets to prevent memory issues.,"Use ListView.builder or SliverList; consider page-based loading for 500+ items","Render all items at once in a Column; use ListView with children for large datasets","-","-",MEDIUM,https://pub.dev/packages/flutter_virtual_listview
Performance,RepaintBoundary for animations,Wrap independently animating widgets in RepaintBoundary to isolate repaints and prevent unnecessary repaints of surrounding widgets.,"Wrap AnimatedWidget, Lottie, and custom animation subtrees in RepaintBoundary","Skip RepaintBoundary on all animated widgets; animate the entire screen","RepaintBoundary(child: AnimatedLogo())","AnimatedLogo() // without isolation",HIGH,https://api.flutter.dev/flutter/widgets/RepaintBoundary-class.html
Performance,Cache MediaQuery results,MediaQuery.of(context) rebuilds on every query call inside build. Cache the result in a local variable at the top of build().,Cache in variable at the top of build: final mq = MediaQuery.of(context);,"Call MediaQuery.of(context).size.width multiple times inside loops or deep in widget trees","final size = MediaQuery.of(context).size; final w = size.width;","Container(width: MediaQuery.of(context).size.width * 0.5, height: MediaQuery.of(context).size.height * 0.3)",MEDIUM,https://api.flutter.dev/flutter/widgets/MediaQuery-class.html
Performance,Use cached_network_image,Raw Image.network has no caching; cached_network_image caches to disk and memory with placeholder and error support.,"Use CachedNetworkImage for all remote images with placeholder and errorWidget","Use Image.network directly in production apps","CachedNetworkImage(imageUrl: url, placeholder: (ctx, url) => Shimmer(...), errorWidget: (ctx, url, e) => Icon(Icons.error))","Image.network(url)",HIGH,https://pub.dev/packages/cached_network_image
Performance,Avoid animating layout properties,Animating width/height/padding triggers layout recalculation on every frame. Use transform and opacity instead — these are compositing operations.,"Animate transform and opacity only; use AnimatedPositioned only when truly needed","Animate width/height directly with AnimatedContainer for frequent animations","widget.animate().scale(duration: 300.ms).fadeIn()","AnimatedContainer(duration: Duration(milliseconds: 300), width: isExpanded ? 200 : 100)",HIGH,https://docs.flutter.dev/perf/best-practices#control-build-cost
Theming,Use ThemeData as design system,All visual tokens (colors, text styles, shapes, elevations) must be defined in ThemeData and accessed via Theme.of(context). Never hardcode in widgets.,"Define colorScheme, textTheme, cardTheme, inputDecorationTheme at app level; access via Theme.of(context)","Hardcode Color(0xFF1A1A2E) or TextStyle(fontSize: 14) directly in widgets","Theme.of(context).colorScheme.primary","const Color(0xFF3B82F6)",CRITICAL,https://api.flutter.dev/flutter/material/ThemeData-class.html
Theming,Separate light and dark ThemeData,Define independent ThemeData for light and dark. Never derive dark from light at runtime by inverting colors. Dark mode needs independent design decisions.,"MaterialApp(theme: lightTheme, darkTheme: darkTheme, themeMode: ThemeMode.system)","Use Theme.of(context).brightness to invert light theme colors at runtime","ThemeData(brightness: Brightness.dark, colorScheme: ColorScheme.fromSeed(seedColor: brandColor, brightness: Brightness.dark))","-",HIGH,https://docs.flutter.dev/cookbook/design/themes
Theming,Define radius and spacing constants,Inconsistent border radius and spacing values are the #1 cause of visually unprofessional apps. Define as constants and use everywhere.,"Define kRadiusSm=8.0 kRadiusMd=12.0 kRadiusLg=20.0 and 4/8dp spacing constants","Use arbitrary BorderRadius.circular(6)/circular(9)/circular(11) per widget","BorderRadius.circular(kRadiusMd)","BorderRadius.circular(11)",MEDIUM,https://m3.material.io/foundations/layout/understanding-layout/spacing
Typography,Use google_fonts package,Google Fonts provides 1400+ fonts without asset bundling. Use distinctive pairings — never ship with default Roboto for the entire app.,Use GoogleFonts for display/heading fonts; pair with a refined body font via GoogleFonts.xyzTextTheme(),"Default to Roboto system font for all text; use the same font for headings and body","GoogleFonts.playfairDisplay(fontSize: 32, fontWeight: FontWeight.w700)","Text('Title', style: TextStyle(fontSize: 32))",MEDIUM,https://pub.dev/packages/google_fonts
